book_id,video_id,first_frame,last_frame,num_observations,best_crop_path,best_score,best_quality_crop_path,best_quality_score,status,count_as_book,boundary,segment_ids,mean_shelf_center_x,mean_width,mean_height
000_book_0272,000,99,118,20,crops/000101_021.jpg,0.9116,crops/000100_021.jpg,0.7655,confirmed,1,0,0,7395.5429,60.2500,431.8500
000_book_0273,000,100,118,19,crops/000114_011.jpg,0.9247,crops/000118_004.jpg,0.7853,confirmed,1,0,0,7437.0552,89.8421,445.9474
000_book_0274,000,100,108,9,crops/000103_023.jpg,0.8804,crops/000105_024.jpg,0.7517,confirmed,1,0,0,7467.8238,84.2222,447.3333
000_book_0275,000,109,118,10,crops/000114_012.jpg,0.8842,crops/000112_019.jpg,0.7915,confirmed,1,0,0,7481.5634,50.1000,425.5000
000_book_0276,000,101,118,18,crops/000113_016.jpg,0.9151,crops/000118_006.jpg,0.8296,confirmed,1,0,0,7505.1308,62.8333,428.3333
000_book_0277,000,104,107,4,crops/000104_026.jpg,0.6115,crops/000105_026.jpg,0.7115,confirmed,1,0,0,7514.8011,53.2500,391.2500
000_book_0278,000,111,111,1,crops/000111_024.jpg,0.5060,crops/000111_024.jpg,0.5473,singleton,0,0,0,7514.8060,15.0000,378.0000
000_book_0279,000,110,118,9,crops/000115_008.jpg,0.8823,crops/000118_007.jpg,0.8193,confirmed,1,0,0,7534.7314,43.2222,389.8889
000_book_0280,000,101,118,18,crops/000115_009.jpg,0.9002,crops/000118_008.jpg,0.8469,confirmed,1,0,0,7545.6030,55.3333,393.8333
000_book_0281,000,102,110,9,crops/000107_028.jpg,0.8871,crops/000105_028.jpg,0.8296,confirmed,1,0,0,7559.8109,70.0000,394.8889
000_book_0282,000,111,118,8,crops/000117_009.jpg,0.8767,crops/000118_009.jpg,0.8402,confirmed,1,0,0,7577.7006,35.5000,423.5000
000_book_0283,000,102,118,17,crops/000117_010.jpg,0.9281,crops/000112_024.jpg,0.8422,confirmed,1,0,0,7591.7001,57.0588,413.2941
000_book_0284,000,103,118,16,crops/000118_011.jpg,0.9113,crops/000112_025.jpg,0.8195,confirmed,1,0,0,7618.5434,57.8125,400.5000
000_book_0285,000,104,118,14,crops/000117_012.jpg,0.9041,crops/000118_012.jpg,0.8152,confirmed,1,0,0,7645.6895,60.0714,391.2143
000_book_0286,000,105,118,14,crops/000117_013.jpg,0.9007,crops/000109_031.jpg,0.7707,confirmed,1,0,0,7676.3699,59.0714,375.8571
000_book_0287,000,106,118,13,crops/000118_014.jpg,0.9192,crops/000118_014.jpg,0.7378,confirmed,1,0,0,7707.9692,59.0769,408.7692
000_book_0288,000,111,118,8,crops/000118_015.jpg,0.8814,crops/000118_015.jpg,0.8456,confirmed,1,0,0,7729.7006,33.7500,365.1250
000_book_0289,000,106,118,13,crops/000108_033.jpg,0.8872,crops/000118_016.jpg,0.8634,confirmed,1,0,0,7750.2384,58.0769,424.6154
000_book_0290,000,107,118,12,crops/000117_017.jpg,0.8558,crops/000118_017.jpg,0.8432,confirmed,1,0,0,7771.7808,54.5833,372.5000
000_book_0291,000,108,110,3,crops/000110_034.jpg,0.7363,crops/000109_036.jpg,0.6437,confirmed,1,0,0,7786.6881,77.6667,360.6667
000_book_0292,000,107,109,3,crops/000109_035.jpg,0.6453,crops/000109_035.jpg,0.6584,confirmed,1,0,0,7798.2624,96.0000,426.6667
